total_seats,available_seats,price
180,180,2100
180,160,2200
180,140,2350
180,120,2550
180,100,2800
180,80,3100
180,60,3500
180,40,4200
180,20,5500
180,10,7500
180,5,9500
180,1,13000
150,150,1900
150,130,2050
150,110,2200
150,90,2500
150,70,2900
150,50,3400
150,30,4200
150,15,5500
150,5,7500
150,1,11000
250,250,2500
250,220,2600
250,200,2750
250,180,2900
250,150,3100
250,120,3500
250,100,3900
250,70,4500
250,40,5200
250,20,6500
250,10,8500
250,3,12000
100,100,1800
100,90,1950
100,80,2100
100,70,2300
100,60,2600
100,50,3000
100,40,3500
100,30,4200
100,20,5000
100,10,6500
100,5,7800
100,1,9500
300,300,3000
300,270,3200
300,240,3400
300,210,3600
300,180,3900
300,150,4200
300,120,4700
300,90,5300
300,60,6000
300,40,7000
300,20,8500
300,10,11000
300,5,15000
200,200,2300
200,180,2450
200,160,2600
200,140,2850
200,120,3100
200,100,3400
200,80,3800
200,60,4300
200,40,5000
200,20,6500
200,10,9000
200,2,12500
220,220,2400
220,200,2550
220,180,2700
220,160,2950
220,140,3200
220,120,3500
220,100,3900
220,80,4400
220,60,5000
220,40,6000
220,20,7500
220,5,10500
